hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
sha512,dash,sha1,💀💀💀✅,eeep,input/incoder/hash/106.txt,[],"[""name 'sha512' is not defined"", ""name 'sha512' is not defined"", ""name 'sha512' is not defined""]"
sha512,dash,md5,✅✅✅✅,pppp,input/incoder/hash/107.txt,[],[]
blake2b,none,,💀💀💀✅,eeep,input/incoder/hash/108.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/109.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/110.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,none,0,💀💀💀✅,eeep,input/incoder/hash/111.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,none,sha1,💀💀💀✅,eeep,input/incoder/hash/112.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,none,md5,💀💀💀✅,eeep,input/incoder/hash/113.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,,💀💀💀✅,eeep,input/incoder/hash/114.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,uppercase,Hello world,💀💀💀✅,eeep,input/incoder/hash/115.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/116.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,0,💀💀💀✅,eeep,input/incoder/hash/117.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,uppercase,sha1,💀💀💀✅,eeep,input/incoder/hash/118.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,uppercase,md5,💀💀💀✅,eeep,input/incoder/hash/119.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,,💀💀💀✅,eeep,input/incoder/hash/120.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,Hello world,💀💀💀✅,eeep,input/incoder/hash/121.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
blake2b,dash,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/122.txt,[],"[""name 'blake2b_base64' is not defined"", ""name 'blake2b_base64' is not defined"", ""name 'blake2b_base64' is not defined""]"
blake2b,dash,0,💀💀💀✅,eeep,input/incoder/hash/123.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2b,dash,sha1,💀💀💀✅,eeep,input/incoder/hash/124.txt,[],"[""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined"", ""name 'blake2b_hash' is not defined""]"
